Notebook Lenovo IdeaPad 3i i3-1115G4 4GB 128GB SSD Linux 15.6" FHD 82MDS00600 ; R$ 2.164,97 ;  Data: 14/10/2022 
Notebook Gamer Acer Nitro 5 Intel Core i7-10750H, GeForce GTX 1650, 8GB RAM, SSD 512GB, 15.6' Full HD IPS 144Hz, Win11 - AN515-55-79X0 ; R$ 5.399,99 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 A515-45-R8W2 AMD Ryzen 7 Windows 11 Home 8GB 512GB SDD 15,6' Full HD ; R$ 4.499,10 ;  Data: 14/10/2022 
Notebook ASUS VivoBook X513EA-EJ3010 Intel Core i7 1165G7 8GB 256GB SSD Linux 15,6" LED Preto ; R$ 3.279,18 ;  Data: 14/10/2022 
Notebook ASUS M515DA-BR1213W AMD Ryzen 5 3500U 8GB 256GB SSD W11 15,6" LED-backlit Cinza ; R$ 3.033,18 ;  Data: 14/10/2022 
Notebook Acer Aspire 3, Intel Celeron N4020, 4GB, 128GB SSD NVMe, 15,6", Windows 11 Home + 1 ano de Office 365, Preto - A315-34-C2BV ; R$ 1.849,90 ;  Data: 14/10/2022 
Notebook Asus Intel Core i5-1035G1, 8GB, SSD 256GB, 15.6 Full HD, Intel Graphics 620, Windows 11 Home, Cinza - X515JA-EJ1792W ; R$ 2.999,99 ;  Data: 14/10/2022 
Notebook Positivo Motion C4128E Intel Celeron - 4GB 128GB SSD 14,1” LED Windows 10 + Office 365 ; R$ 1.889,10 ;  Data: 14/10/2022 
Notebook ASUS VivoBook X513EA-EJ3010W Intel Core i7 1165G7 8GB 256GB SSD W11 15,60" LED Preto ; R$ 3.689,18 ;  Data: 14/10/2022 
Notebook Intel Windows 11 Home 4GB 500GB Tela 15,6 Full HD LED NP550XDA-KP2BR Samsung ; R$ 1.998,90 ;  Data: 14/10/2022 
Notebook Lenovo V15 Iml 15.6 I3-10110U 4Gb/1Tbgb Win10 ; R$ 3.122,90 ;  Data: 14/10/2022 
Notebook Dell Inspiron 15 i1101-M60S 15.6” Full HD 11ª geração Intel Core i7 16GB 512GB SSD NVIDIA Geforce Windows 11 ; R$ 5.804,10 ;  Data: 14/10/2022 
Notebook ASUS VivoBook K513EQ-EJ663W Preto ; R$ 5.329,18 ;  Data: 14/10/2022 
Notebook Dell Inspiron 15 i1101-M30S 15.6” Full HD 11ª geração Intel Core i5 8GB 256GB SSD NVIDIA Geforce Windows 11 ; R$ 4.724,10 ;  Data: 14/10/2022 
Notebook Tablet 2 em 1, Windows 11, Intel Celeron, 4 GB RAM, 128GB, Tela 11,6 Touch Screen, Microsoft 365 + Xbox Game Pass e 1TB na Nuvem - PC281 - Multilaser ; R$ 1.250,10 ;  Data: 14/10/2022 
Notebook Dell Inspiron i15-i1100-M40PP 15.6" Full HD 11ª Geração Intel Core i5 8GB 256GB SSD Windows 11 ; R$ 3.887,10 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 i5-1135G7 8GB 256GB SSD W11 15,6" ; R$ 4.199,90 ;  Data: 14/10/2022 
Notebook 14" Galaxy Book Go Snapdragon 7C, 4Gb, SSD 128Gb, Windows 11 Home, Prata, NP340XLA-K04BR SAMSUNG ; R$ 2.311,90 ;  Data: 14/10/2022 
